length (px)
205.1
164.9
106.0
96.2
88.6
144.5
166.9
155.8
198.2
157.2
122.1
121.2
120.1
108.3
82.0
93.6
90.1
60.0
40.2
86.9
28.6
140.9
26.5
81.6
62.6
121.6
130.1
151.2
55.4
81.4
76.4
94.1
103.1
97.0
65.0
34.1
85.7
67.5
55.9
30.6
33.2
49.2
144.1
167.8
57.5
42.0
113.3
