length (px)
141.8
70.7
90.4
69.4
82.6
115.9
137.5
96.7
55.9
30.9
54.9
100.3
59.1
148.2
56.0
97.4
65.7
125.0
105.3
185.7
56.6
167.8
48.3
80.6
55.1
63.8
65.3
128.4
41.0
62.6
160.7
80.0
156.0
81.7
53.0
99.6
116.2
128.2
49.6
34.0
138.8
200.0
77.8
50.5
