length (px)
260.0
132.2
156.2
123.3
213.8
79.4
114.2
66.2
113.4
92.2
144.0
51.6
27.8
204.2
80.4
54.3
106.9
229.6
92.3
119.1
39.2
55.1
67.0
108.7
224.8
40.7
70.8
118.7
42.1
53.2
98.4
